Arc Length (m),Radius (m),Curvature (1/m),Angle (deg),Coordinates
525.149276,640.368362,0.00156160,46.986764,"[<QgsPointXY: POINT(8109015.43336392194032669 2151478.39109968859702349)>, <QgsPointXY: POINT(8109033.77508096396923065 2151571.4880814584903419)>, <QgsPointXY: POINT(8109070.45851504616439342 2151691.73900340870022774)>, <QgsPointXY: POINT(8109096.13691890239715576 2151753.80428377399221063)>, <QgsPointXY: POINT(8109096.13691890239715576 2151804.23246865486726165)>, <QgsPointXY: POINT(8109066.79017163719981909 2151916.72657898860052228)>, <QgsPointXY: POINT(8109055.7851414131000638 2151986.550834019202739)>]"
632.313088,412.924881,0.00242175,87.737196,"[<QgsPointXY: POINT(8108850.35791055299341679 2152892.34911488927900791)>, <QgsPointXY: POINT(8108799.00110283866524696 2153078.55694387713447213)>, <QgsPointXY: POINT(8108810.0061330646276474 2153218.21397617552429438)>, <QgsPointXY: POINT(8108857.69459736999124289 2153334.59559637168422341)>, <QgsPointXY: POINT(8108986.08661665674299002 2153450.97790747554972768)>]"
2278.962901,2035.332297,0.00049132,64.154122,"[<QgsPointXY: POINT(8109437.29285586718469858 2153792.37000622181221843)>, <QgsPointXY: POINT(8109716.08695488888770342 2154056.17706430237740278)>, <QgsPointXY: POINT(8109877.49406485073268414 2154234.6367936497554183)>, <QgsPointXY: POINT(8109994.8810539124533534 2154467.41279606986790895)>, <QgsPointXY: POINT(8110097.59466934390366077 2154707.95090367365628481)>, <QgsPointXY: POINT(8110192.97159795463085175 2154932.97309714835137129)>, <QgsPointXY: POINT(8110229.65503203775733709 2155212.31458831019699574)>, <QgsPointXY: POINT(8110207.64497158862650394 2155522.69869509479030967)>, <QgsPointXY: POINT(8110200.30828477162867785 2155817.56815261393785477)>]"
1910.091110,1888.725487,0.00052946,57.943920,"[<QgsPointXY: POINT(8110214.98165840469300747 2155189.03597856964915991)>, <QgsPointXY: POINT(8110192.97159795463085175 2155724.45100218802690506)>, <QgsPointXY: POINT(8110200.30828477162867785 2155965.00454631401225924)>, <QgsPointXY: POINT(8110259.00177930295467377 2156275.40058271633461118)>, <QgsPointXY: POINT(8110435.08226289693266153 2156578.04145603021606803)>, <QgsPointXY: POINT(8110633.17280693911015987 2156841.88603468285873532)>, <QgsPointXY: POINT(8110706.53967510443180799 2156958.28918523946776986)>]"
1575.386408,1361.179994,0.00073466,66.312312,"[<QgsPointXY: POINT(8110398.39882881566882133 2156531.48101716861128807)>, <QgsPointXY: POINT(8110691.86630147136747837 2156942.76872516982257366)>, <QgsPointXY: POINT(8110860.61009824927896261 2157214.37855321587994695)>, <QgsPointXY: POINT(8110889.95684551540762186 2157532.55486015509814024)>, <QgsPointXY: POINT(8110831.26335098315030336 2157959.38486026506870985)>]"
1451.964381,1476.347284,0.00067735,56.349500,"[<QgsPointXY: POINT(8110823.92666416708379984 2157967.14549190737307072)>, <QgsPointXY: POINT(8110787.24323008581995964 2158347.42021350003778934)>, <QgsPointXY: POINT(8110794.57991690095514059 2158556.96250466909259558)>, <QgsPointXY: POINT(8110831.26335098408162594 2158774.26799246296286583)>, <QgsPointXY: POINT(8110941.31365323066711426 2159045.90324750309810042)>, <QgsPointXY: POINT(8111146.74088408797979355 2159325.30344614200294018)>]"
778.188147,761.294081,0.00131355,58.567244,"[<QgsPointXY: POINT(8110856.94175484031438828 2157775.07076346967369318)>, <QgsPointXY: POINT(8110858.77592654433101416 2157872.0779664060100913)>, <QgsPointXY: POINT(8110875.28347188141196966 2157967.145491907838732)>, <QgsPointXY: POINT(8110875.28347188141196966 2158058.33314428431913257)>, <QgsPointXY: POINT(8110860.61009824927896261 2158137.88016685517504811)>, <QgsPointXY: POINT(8110827.59500757604837418 2158229.06861502304673195)>, <QgsPointXY: POINT(8110763.39899793080985546 2158328.01826304197311401)>, <QgsPointXY: POINT(8110691.8663014704361558 2158450.25087220082059503)>, <QgsPointXY: POINT(8110660.68538250122219324 2158496.81587659660726786)>]"
1294.668186,975.683116,0.00102492,76.027782,"[<QgsPointXY: POINT(8110216.81583010964095592 2158838.29596274439245462)>, <QgsPointXY: POINT(8110436.91643460094928741 2158729.64256137330085039)>, <QgsPointXY: POINT(8110649.68035227712243795 2158535.62013160297647119)>, <QgsPointXY: POINT(8110767.06734134070575237 2158271.75271553033962846)>, <QgsPointXY: POINT(8110825.76083587016910315 2158000.12821072759106755)>, <QgsPointXY: POINT(8110840.4342095023021102 2157806.11301608197391033)>]"
1083.616741,806.906308,0.00123930,76.944083,"[<QgsPointXY: POINT(8109343.75009895674884319 2159738.59022695710882545)>, <QgsPointXY: POINT(8109365.76015940587967634 2159505.7515295222401619)>, <QgsPointXY: POINT(8109461.13708801846951246 2159327.24373925710096955)>, <QgsPointXY: POINT(8109651.89094524644315243 2159109.93210710119456053)>, <QgsPointXY: POINT(8109974.70516516827046871 2158954.71099119447171688)>]"
1965.994271,1791.223434,0.00055828,62.886166,"[<QgsPointXY: POINT(8111067.87150081247091293 2159218.58762130606919527)>, <QgsPointXY: POINT(8111368.67566028423607349 2159575.60284760128706694)>, <QgsPointXY: POINT(8111596.11295159347355366 2159870.53338641533628106)>, <QgsPointXY: POINT(8111750.1833747373893857 2160188.75290548708289862)>, <QgsPointXY: POINT(8111794.203495635651052 2160732.06649716524407268)>, <QgsPointXY: POINT(8111757.5200615543872118 2160957.15798170445486903)>]"
1221.814310,1195.601454,0.00083640,58.551956,"[<QgsPointXY: POINT(8111801.5401824526488781 2160592.35584529442712665)>, <QgsPointXY: POINT(8111735.51000110618770123 2160972.68162793712690473)>, <QgsPointXY: POINT(8111750.1833747373893857 2161221.06164499884471297)>, <QgsPointXY: POINT(8111874.90705061610788107 2161554.827265331055969)>, <QgsPointXY: POINT(8111999.63072649482637644 2161748.87966606626287103)>]"
819.464607,546.059431,0.00183130,85.983065,"[<QgsPointXY: POINT(8112960.73669944517314434 2162633.78305474575608969)>, <QgsPointXY: POINT(8113140.48552644625306129 2162777.38957934267818928)>, <QgsPointXY: POINT(8113272.54588914196938276 2162862.77774334186688066)>, <QgsPointXY: POINT(8113404.60625183768570423 2162866.65903239650651813)>, <QgsPointXY: POINT(8113694.40538108441978693 2162789.03339789854362607)>]"
707.177880,1639.061048,0.00061011,24.720439,"[<QgsPointXY: POINT(8114780.23502991441637278 2162497.94001706084236503)>, <QgsPointXY: POINT(8115095.71256302110850811 2162420.31584838731214404)>, <QgsPointXY: POINT(8115438.70267168991267681 2162251.48434689873829484)>]"
693.875188,2833.156494,0.00035296,14.032448,"[<QgsPointXY: POINT(8116091.66779834590852261 2161939.05288913613185287)>, <QgsPointXY: POINT(8116267.7482819389551878 2161845.90658934507519007)>, <QgsPointXY: POINT(8116436.49207871779799461 2161756.64180219126865268)>, <QgsPointXY: POINT(8116682.27108706720173359 2161578.11345163639634848)>]"
2332.422012,1846.935911,0.00054144,72.356564,"[<QgsPointXY: POINT(8116990.41193335689604282 2161376.30075911525636911)>, <QgsPointXY: POINT(8117606.69362593535333872 2160972.68162793619558215)>, <QgsPointXY: POINT(8118222.97531851381063461 2160662.21104637905955315)>, <QgsPointXY: POINT(8118509.10610435344278812 2160561.30916940234601498)>, <QgsPointXY: POINT(8118809.91026382520794868 2160600.11752197239547968)>, <QgsPointXY: POINT(8119037.34755513444542885 2160794.16044082585722208)>]"
